lat,lon,multi_nb_clusters,cumulative_GDD_score,cumulative_GDD_nb_clusters,cumulative_PRECTOT_score,cumulative_PRECTOT_nb_clusters,cumulative_WS2M_score,cumulative_WS2M_nb_clusters,cumulative_RH2M_score,cumulative_RH2M_nb_clusters
21.491028281152968,-13.571798288799789,2,39.70161710923382,3,298.54904941741916,9,61.07692827744824,4,71.5452355276026,3
21.491028281152968,-13.87179828879979,2,39.70161710923382,3,298.54904941741916,9,61.07692827744824,4,71.5452355276026,3
21.491028281152968,-14.171798288799788,2,37.10895769846412,6,222.36844845748664,9,71.03415094788149,3,80.82454993642975,2
21.491028281152968,-14.47179828879979,2,37.10895769846412,6,222.36844845748664,9,71.03415094788149,3,80.82454993642975,2
21.491028281152968,-14.771798288799788,6,39.89629182897826,2,254.1874685087442,9,71.09999222799507,3,73.1912662585831,2
21.491028281152968,-15.071798288799789,6,41.17592681617,2,261.7809858675489,9,80.11244646157927,2,64.77471175241085,5
21.491028281152968,-15.37179828879979,6,41.17592681617,2,261.7809858675489,9,80.11244646157927,2,64.77471175241085,5
21.491028281152968,-15.671798288799788,6,44.17303019457656,2,259.6494336272673,9,86.1214834614843,2,71.37451212107732,4
21.491028281152968,-15.97179828879979,6,44.17303019457656,2,259.6494336272673,9,86.1214834614843,2,71.37451212107732,4
21.491028281152968,-16.27179828879979,3,50.44880149572457,2,359.5322080854648,9,80.1889404034949,2,74.60344943683796,4
21.491028281152968,-16.57179828879979,4,52.31107721513837,4,231.60641259103716,9,68.31813198678861,2,58.156741657698596,3
21.491028281152968,-16.871798288799788,4,52.31107721513837,4,231.60641259103716,9,68.31813198678861,2,58.156741657698596,3
21.79102828115297,-13.271798288799788,2,43.378143827163385,3,265.95256375329257,4,64.15105864611022,5,79.56278832789283,3
21.79102828115297,-13.571798288799789,2,37.93775124213919,3,410.15069951945486,9,68.59095553774098,4,73.30358797135183,3
21.79102828115297,-13.87179828879979,2,37.93775124213919,3,410.15069951945486,9,68.59095553774098,4,73.30358797135183,3
21.79102828115297,-14.171798288799788,2,41.450610549011294,6,329.0572306354593,9,70.3328510355731,4,72.59553523153158,6
21.79102828115297,-14.47179828879979,2,41.450610549011294,6,329.0572306354593,9,70.3328510355731,4,72.59553523153158,6
21.79102828115297,-14.771798288799788,2,40.2758245114291,6,299.0134498698811,9,82.26761273833993,3,71.81605726599828,8
21.79102828115297,-15.071798288799789,6,36.66645722196136,6,322.530830400453,9,96.74902164537174,3,61.911988784529846,2
21.79102828115297,-15.37179828879979,6,36.66645722196136,6,322.530830400453,9,96.74902164537174,3,61.911988784529846,2
21.79102828115297,-15.671798288799788,3,42.02211011232029,2,336.7725268817161,9,84.71062367666461,3,65.16141916927292,4
