lat,lon,region,name
21.491028281152968,-16.87179828879979,Oued Ed-Dahab,Oued Ed-Dahab
21.491028281152968,-16.57179828879979,Oued Ed-Dahab,Oued Ed-Dahab
21.491028281152968,-16.27179828879979,Oued Ed-Dahab,Oued Ed-Dahab
21.491028281152968,-15.97179828879979,Western Sahara,Western Sahara
21.491028281152968,-15.67179828879979,Oued Ed-Dahab,Oued Ed-Dahab
21.491028281152968,-15.37179828879979,Oued Ed-Dahab,Oued Ed-Dahab
21.491028281152968,-15.07179828879979,Oued Ed-Dahab,Oued Ed-Dahab
21.491028281152968,-14.77179828879979,Oued Ed-Dahab,Oued Ed-Dahab
21.491028281152968,-14.47179828879979,Western Sahara,Western Sahara
21.491028281152968,-14.17179828879979,Western Sahara,Western Sahara
21.491028281152968,-13.87179828879979,Western Sahara,Western Sahara
21.491028281152968,-13.57179828879979,Western Sahara,Western Sahara
21.79102828115297,-16.87179828879979,Oued Ed-Dahab,Oued Ed-Dahab
21.79102828115297,-16.57179828879979,Oued Ed-Dahab,Oued Ed-Dahab
21.79102828115297,-16.27179828879979,Oued Ed-Dahab,Oued Ed-Dahab
21.79102828115297,-15.97179828879979,Oued Ed-Dahab,Oued Ed-Dahab
21.79102828115297,-15.67179828879979,Oued Ed-Dahab,Oued Ed-Dahab
21.79102828115297,-15.37179828879979,Oued Ed-Dahab,Oued Ed-Dahab
21.79102828115297,-15.07179828879979,Oued Ed-Dahab,Oued Ed-Dahab
21.79102828115297,-14.77179828879979,Oued Ed-Dahab,Oued Ed-Dahab
21.79102828115297,-14.47179828879979,Western Sahara,Western Sahara
21.79102828115297,-14.17179828879979,Western Sahara,Western Sahara
21.79102828115297,-13.87179828879979,Western Sahara,Western Sahara
21.79102828115297,-13.57179828879979,Western Sahara,Western Sahara
21.79102828115297,-13.27179828879979,Western Sahara,Western Sahara
22.091028281152965,-16.57179828879979,Oued Ed-Dahab,Oued Ed-Dahab
22.091028281152965,-16.27179828879979,Oued Ed-Dahab,Oued Ed-Dahab
22.091028281152965,-15.97179828879979,Oued Ed-Dahab,Oued Ed-Dahab
22.091028281152965,-15.67179828879979,Oued Ed-Dahab,Oued Ed-Dahab
22.091028281152965,-15.37179828879979,Oued Ed-Dahab,Oued Ed-Dahab
22.091028281152965,-15.07179828879979,Oued Ed-Dahab,Oued Ed-Dahab
22.091028281152965,-14.77179828879979,Oued Ed-Dahab,Oued Ed-Dahab
22.091028281152965,-14.47179828879979,Oued Ed-Dahab,Oued Ed-Dahab
22.091028281152965,-14.17179828879979,Western Sahara,Western Sahara
22.091028281152965,-13.87179828879979,Western Sahara,Western Sahara
22.091028281152965,-13.57179828879979,Western Sahara,Western Sahara
22.091028281152965,-13.27179828879979,Western Sahara,Western Sahara
22.391028281152966,-16.27179828879979,Oued Ed-Dahab,Oued Ed-Dahab
22.391028281152966,-15.97179828879979,Oued Ed-Dahab,Oued Ed-Dahab
22.391028281152966,-15.67179828879979,Oued Ed-Dahab,Oued Ed-Dahab
22.391028281152966,-15.37179828879979,Oued Ed-Dahab,Oued Ed-Dahab
22.391028281152966,-15.07179828879979,Oued Ed-Dahab,Oued Ed-Dahab
22.391028281152966,-14.77179828879979,Oued Ed-Dahab,Oued Ed-Dahab
22.391028281152966,-14.47179828879979,Oued Ed-Dahab,Oued Ed-Dahab
22.391028281152966,-14.17179828879979,Western Sahara,Western Sahara
22.391028281152966,-13.87179828879979,Western Sahara,Western Sahara
22.391028281152966,-13.57179828879979,Western Sahara,Western Sahara
22.391028281152966,-13.27179828879979,Western Sahara,Western Sahara
22.691028281152967,-16.27179828879979,Oued Ed-Dahab,Oued Ed-Dahab
22.691028281152967,-15.97179828879979,Oued Ed-Dahab,Oued Ed-Dahab
22.691028281152967,-15.67179828879979,Oued Ed-Dahab,Oued Ed-Dahab
22.691028281152967,-15.37179828879979,Oued Ed-Dahab,Oued Ed-Dahab
22.691028281152967,-15.07179828879979,Oued Ed-Dahab,Oued Ed-Dahab
22.691028281152967,-14.77179828879979,Oued Ed-Dahab,Oued Ed-Dahab
22.691028281152967,-14.47179828879979,Oued Ed-Dahab,Oued Ed-Dahab
22.691028281152967,-14.17179828879979,Western Sahara,Western Sahara
22.691028281152967,-13.87179828879979,Western Sahara,Western Sahara
22.691028281152967,-13.57179828879979,Western Sahara,Western Sahara
22.691028281152967,-13.27179828879979,Western Sahara,Western Sahara
22.991028281152968,-15.97179828879979,Oued Ed-Dahab,Oued Ed-Dahab
22.991028281152968,-15.67179828879979,Oued Ed-Dahab,Oued Ed-Dahab
22.991028281152968,-15.37179828879979,Oued Ed-Dahab,Oued Ed-Dahab
22.991028281152968,-15.07179828879979,Oued Ed-Dahab,Oued Ed-Dahab
22.991028281152968,-14.77179828879979,Oued Ed-Dahab,Oued Ed-Dahab
22.991028281152968,-14.47179828879979,Oued Ed-Dahab,Oued Ed-Dahab
22.991028281152968,-14.17179828879979,Oued Ed-Dahab,Oued Ed-Dahab
22.991028281152968,-13.87179828879979,Western Sahara,Western Sahara
22.991028281152968,-13.57179828879979,Western Sahara,Western Sahara
22.991028281152968,-13.27179828879979,Western Sahara,Western Sahara
23.29102828115297,-15.97179828879979,Oued Ed-Dahab,Oued Ed-Dahab
23.29102828115297,-15.67179828879979,Oued Ed-Dahab,Oued Ed-Dahab
23.29102828115297,-15.37179828879979,Oued Ed-Dahab,Oued Ed-Dahab
23.29102828115297,-15.07179828879979,Oued Ed-Dahab,Oued Ed-Dahab
23.29102828115297,-14.77179828879979,Oued Ed-Dahab,Oued Ed-Dahab
